new-namespace	classname	path	old-namespace
Import\Price\Exception	InvalidNumberOfDecimalPointsForPriceException	src/Product/Exception/InvalidNumberOfDecimalPointsForPriceException.php	LizardsAndPumpkins\Product\Exception
ProductListing\Exception	InvalidNumberOfProductsPerPageException	src/ContentDelivery/Catalog/Exception/InvalidNumberOfProductsPerPageException.php	LizardsAndPumpkins\ContentDelivery\Catalog\Exception
Import\Product\Exception	InvalidNumberOfSkusForImportedProductException	src/Projection/Catalog/Import/Exception/InvalidNumberOfSkusForImportedProductException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\Product\Exception	InvalidProductAttributeValueException	src/Product/Exception/InvalidProductAttributeValueException.php	LizardsAndPumpkins\Product\Exception
Import\Product\Exception	InvalidProductIdException	src/Product/Exception/InvalidProductIdException.php	LizardsAndPumpkins\Product\Exception
Import\Product\Image	InvalidProductImageAttributeListException	src/Projection/Catalog/Import/Exception/InvalidProductImageAttributeListException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\Product\Listing\Exception	InvalidProductListingAttributeCodeException	src/Product/Exception/InvalidProductListingAttributeCodeException.php	LizardsAndPumpkins\Product\Exception
Import\Product\Listing\Exception	InvalidProductListingAttributeValueException	src/Product/Exception/InvalidProductListingAttributeValueException.php	LizardsAndPumpkins\Product\Exception
ProductRecommendations\Exception	InvalidProductRelationTypeCodeException	src/ContentDelivery/Catalog/ProductRelations/Exception/InvalidProductRelationTypeCodeException.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception
ProductRecommendations\Exception	InvalidProductRelationTypeException	src/ContentDelivery/Catalog/ProductRelations/Exception/InvalidProductRelationTypeException.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception
UNUSED	InvalidProductStockQuantitySourceDataException	src/Product/Exception/InvalidProductStockQuantitySourceDataException.php	LizardsAndPumpkins\Product\Exception
Import\Product\Exception	InvalidProductTypeCodeException	src/Product/Exception/InvalidProductTypeCodeException.php	LizardsAndPumpkins\Product\Exception
Import\Product\Exception	InvalidProductTypeCodeForImportedProductException	src/Projection/Catalog/Import/Exception/InvalidProductTypeCodeForImportedProductException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\Exception	InvalidProjectionSourceDataTypeException	src/Exception/InvalidProjectionSourceDataTypeException.php	LizardsAndPumpkins\Exception
Http\ContentDelivery\Exception	InvalidResponseBodyException	src/Http/Exception/InvalidResponseBodyException.php	LizardsAndPumpkins\Http\Exception
DataPool\SearchEngine\Exception	InvalidRowsPerPageException	src/DataPool/SearchEngine/Exception/InvalidRowsPerPageException.php	LizardsAndPumpkins\DataPool\SearchEngine\Exception
UNUSED	InvalidSearchDocumentContentException	src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentContentException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception
DataPool\SearchEngine\Exception	InvalidSearchDocumentFieldKeyException	src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentFieldKeyException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception
DataPool\SearchEngine\Exception	InvalidSearchDocumentFieldValueException	src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentFieldValueException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception
UNUSED	InvalidSearchDocumentStateRepresentationException	src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentStateRepresentationException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception
ProductSearch\Exception	InvalidSearchFieldToQueryParameterMapException	src/ContentDelivery/Catalog/Search/Exception/InvalidSearchFieldToQueryParameterMapException.php	LizardsAndPumpkins\ContentDelivery\Catalog\Search\Exception
